resume_id,rank,DEGREE_score
16300459,1,1.0
60004873,2,1.0
13264796,3,1.0
10247517,4,1.0
16605640,5,1.0
95714702,6,1.0
33872500,7,1.0
45475027,8,1.0
95792386,9,1.0
27756469,10,1.0
30127072,11,1.0
20565486,12,1.0
95970987,13,1.0
70750649,14,1.0
17252448,15,1.0
10268614,16,1.0
29792535,17,1.0
28815362,18,1.0
10751444,19,1.0
74552449,20,1.0
24647794,21,1.0
34953092,22,1.0
26767199,23,1.0
46772262,24,1.0
27917969,25,1.0
14667957,26,1.0
27182111,27,1.0
12011623,28,1.0
39970711,29,1.0
83338413,30,1.0
17407184,31,1.0
10553553,32,1.0
50222417,33,1.0
31273310,34,1.0
20393721,35,1.0
29208172,36,1.0
29177904,37,1.0
36107065,38,1.0
55953734,39,1.0
36434348,40,1.0
25867805,41,1.0
37335325,42,1.0
74512244,43,1.0
13405733,44,1.0
31273413,45,1.0
19506295,46,1.0
21060367,47,1.0
11919526,48,1.0
39470264,49,1.0
28973180,50,1.0
