resume_id,rank,EXPERIENCE_DURATION_score
21868149,1,0.9
13888506,2,0.9
34046031,3,0.9
51508889,4,0.9
26676567,5,0.9
11333660,6,0.9
58915642,7,0.9
20993320,8,0.9
87520378,9,0.9
58879993,10,0.9
68460556,11,0.9
93988900,12,0.9
15423153,13,0.9
85417107,14,0.9
22968380,15,0.9
33236701,16,0.9
29746235,17,0.9
14508237,18,0.9
10268614,19,0.9
76196367,20,0.9
20969845,21,0.9
30288581,22,0.9
19545827,23,0.9
19503224,24,0.9
10909673,25,0.9
17213671,26,0.9
26410763,27,0.9
32720816,28,0.9
10945968,29,0.9
16877897,30,0.5714285714285714
17812897,31,0.5
11592605,32,0.5
21190805,33,0.5
11752500,34,0.5
31536294,35,0.5
22442947,36,0.5
27512470,37,0.5
14874322,38,0.5
23464505,39,0.5
12504278,40,0.5
58048626,41,0.5
15684810,42,0.5
17694572,43,0.5
22168194,44,0.5
29595906,45,0.5
77626587,46,0.5
98389424,47,0.5
15375009,48,0.5
29297973,49,0.5
18334783,50,0.5
