section,type,item,priority,analysis,frequency
1. REQUIRED SKILLS FOR THIS ROLE,job_requirement,C++ | Java | Linux | Python,REQUIRED,This role requires 4 key technical skills,
2. YOUR STRENGTHS 🌟,your_skills,C++ | Java | Linux | Python,EXCELLENT,You already have 4 of the required skills! Great foundation!,
3. SKILLS TO DEVELOP ,missing_skills_header,Focus on these technical skills to match top candidates:,ACTION_ITEMS,,
3. SKILLS TO DEVELOP ,missing_skill,Excel,LOW,LOW: Found in 2/10 top candidates,2/10
3. SKILLS TO DEVELOP ,missing_skill,SQL,LOW,LOW: Found in 2/10 top candidates,2/10
3. SKILLS TO DEVELOP ,missing_skill,Word,LOW,LOW: Found in 2/10 top candidates,2/10
3. SKILLS TO DEVELOP ,missing_skill,CSS,LOW,LOW: Found in 1/10 top candidates,1/10
3. SKILLS TO DEVELOP ,missing_skill,project management,LOW,LOW: Found in 1/10 top candidates,1/10
3. SKILLS TO DEVELOP ,missing_skill,PowerPoint,LOW,LOW: Found in 1/10 top candidates,1/10
3. SKILLS TO DEVELOP ,missing_skill,Project Management,LOW,LOW: Found in 1/10 top candidates,1/10
3. SKILLS TO DEVELOP ,missing_skill,linux,LOW,LOW: Found in 1/10 top candidates,1/10
