resume_id,rank,INSTITUTION_score
16852973,1,0.0
22323967,2,0.0
33176873,3,0.0
27018550,4,0.0
17812897,5,0.0
11592605,6,0.0
25824789,7,0.0
15375009,8,0.0
11847784,9,0.0
32896934,10,0.0
29149998,11,0.0
11480899,12,0.0
23155093,13,0.0
11763983,14,0.0
27490876,15,0.0
32977530,16,0.0
93002334,17,0.0
24184357,18,0.0
73077810,19,0.0
13879043,20,0.0
30163002,21,0.0
18827609,22,0.0
25676643,23,0.0
12786012,24,0.0
87968870,25,0.0
46258701,26,0.0
14225422,27,0.0
29297973,28,0.0
18334783,29,0.0
19717385,30,0.0
49937469,31,0.0
18316239,32,0.0
17855844,33,0.0
57667857,34,0.0
17422560,35,0.0
32947778,36,0.0
23914451,37,0.0
21265194,38,0.0
51769822,39,0.0
19616406,40,0.0
41523474,41,0.0
59962788,42,0.0
86184722,43,0.0
28419173,44,0.0
18155310,45,0.0
26780935,46,0.0
34554248,47,0.0
26202430,48,0.0
19867922,49,0.0
91930382,50,0.0
